citizen_id,declared_income,tax_paid,phone_count,filing_status_encoded,total_vehicle_value,vehicle_count,max_vehicle_value,total_property_value,property_count,avg_monthly_electricity,avg_monthly_gas,total_utility_spend,foreign_travel_count,business_class_trips,luxury_destination_count,business_count,directorship_count,total_share_value,avg_bank_balance,avg_monthly_transactions,graph_degree_centrality,graph_betweenness,income_to_asset_ratio,tax_to_income_ratio,utility_to_income_ratio
CZ-271CF17B,17885800.0,2481930.0,1,1.0,4662000.0,1,4662000.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,41818330.0,0.0,0.0,0.0,1.0,0.13876538930324614,0.0
CZ-AB21B2C0,0.0,0.0,1,0.0,3220000.0,1,3220000.0,105886440.0,2,0.0,0.0,0.0,1,0,0,1,0,0.0,12858500.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ-871346F6,0.0,0.0,1,0.0,0.0,0,0.0,12984850.0,1,0.0,0.0,0.0,2,0,1,1,0,0.0,8076285.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ-B1FEECA1,6118240.0,1065180.0,1,1.0,2826000.0,1,2826000.0,20338750.0,1,0.0,0.0,0.0,0,0,0,3,0,0.0,3245100.0,0.0,0.0,0.0,0.2641185421815474,0.17409908731922905,0.0
CZ-A62F657F,0.0,0.0,1,0.0,0.0,0,0.0,124946430.0,1,0.0,0.0,0.0,0,0,0,1,0,0.0,25630050.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ-BD4C0CB4,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,1,0,0.0,8007560.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ-5393F7C8,9730470.0,2076650.0,1,1.0,8004000.0,2,5625000.0,0.0,0,0.0,0.0,0.0,0,0,0,1,0,0.0,25344400.0,0.0,0.0,0.0,1.0,0.21341723472761337,0.0
CZ-2D22B38F,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,0,1,2,0,0.0,113011110.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ-18E6135E,17760570.0,2359170.0,1,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1,0,0,0,0,0.0,40060160.0,0.0,0.0,0.0,0.0,0.13283188546313549,0.0
CZ-2DF6575E,0.0,0.0,1,0.0,0.0,0,0.0,98388990.0,1,0.0,0.0,0.0,0,0,0,1,0,0.0,14766170.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ-28E7ADFA,8949120.0,708840.0,1,1.0,0.0,0,0.0,108229910.0,2,0.0,0.0,0.0,0,0,0,2,0,0.0,17312310.0,0.0,0.0,0.0,0.08268620014559747,0.0792077880283201,0.0
CZ-3648A27B,0.0,0.0,1,0.0,5106000.0,2,3390000.0,14031160.0,1,0.0,0.0,0.0,1,0,1,1,0,0.0,3154025.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ-EBAB4900,7813590.0,1634980.0,1,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0.0,0,0,0,0,0,0.0,6924520.0,0.0,0.0,0.0,0.0,0.20924824568476205,0.0
CZ-64040DB7,0.0,0.0,1,0.0,904000.0,1,904000.0,0.0,0,0.0,0.0,0.0,1,0,1,0,0,0.0,5801020.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ-0A0816BF,0.0,0.0,1,0.0,6064000.0,1,6064000.0,0.0,1,0.0,0.0,0.0,1,0,1,1,0,0.0,6883765.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ-41D113B3,20417890.0,2567960.0,1,1.0,5856000.0,1,5856000.0,238994750.0,2,0.0,0.0,0.0,1,0,1,2,0,0.0,48408920.0,0.0,0.0,0.0,0.08338912582460949,0.12577009671420505,0.0
